VERSION;STOP_NR;STOP_TYPE;STOP_NAME;STOP_NAME_WITHOUT_LOCALITY;STOP_SHORTNAME;STOP_POS_X;STOP_POS_Y;PLACE;OCC;FARE_ZONE1_NR;FARE_ZONE2_NR;FARE_ZONE3_NR;FARE_ZONE4_NR;FARE_ZONE5_NR;FARE_ZONE6_NR;GLOBAL_ID;VALID_FROM;VALID_TO;PLACE_ID;GIS_MOT_FLAG;IS_CENTRAL_STOP;IS_RESPONSIBLE_STOP;INTERCHANGE_TYPE;INTERCHANGE_QUALITY
1;1297;0;Dortmund Somborner Höh                            ;Somborner Höh                                     ;SombHöh ;7.351.004;51.493.613;Dortmund            ;5913000;374;-1;-1;-1;-1;-1;de:05913:1297                                     ;19781001;25001231;22;0;0;0;2;0
1;1320;0;Dortmund Bövinghausen Friedhof                    ;Bövinghausen Friedhof                             ;BövFrie ;7.321.404;51.514.185;Dortmund            ;5913000;374;-1;-1;-1;-1;-1;de:05913:1320                                     ;19781001;25001231;22;0;0;0;2;0
1;2251;0;Herdecke Koenenstr.                               ;Koenenstr.                                        ;HEKO    ;7.437.242;51.397.206;Herdecke            ;5954020;474;-1;-1;-1;-1;-1;de:05954:2251                                     ;20160612;25001224;2;255;0;0;2;0
1;2252;0;Herdecke Hengsteyseestr.                          ;Hengsteyseestr.                                   ;HSEE    ;7.432.194;51.397.190;Herdecke            ;5954020;474;588;-1;-1;-1;-1;de:05954:2252                                     ;20160612;25001224;2;0;0;0;2;0
1;3019;0;Bottrop Forststr.                                 ;Forststr.                                         ;        ;6.932.946;51.587.745;Bottrop             ;5512000;256;-1;-1;-1;-1;-1;de:05512:3019                                     ;19781001;25001224;2;0;0;0;2;0
1;3025;0;BOT Schlagkamp                                    ;Schlagkamp                                        ;        ;6.930.152;51.592.857;Bottrop             ;5512000;256;-1;-1;-1;-1;-1;de:05512:3025                                     ;19781001;25001224;2;0;0;0;2;0
1;3160;0;GE Reichenberger Str.                             ;Reichenberger Str.                                ;        ;7.022.517;51.543.352;Gelsenkirchen       ;5513000;252;264;-1;-1;-1;-1;de:05513:3160                                     ;19781001;25001224;9;0;0;0;2;0
1;3200;0;GLA Oberhof                                       ;Oberhof                                           ;Oberhof ;6.996.133;51.574.365;Gladbeck            ;5562014;252;-1;-1;-1;-1;-1;de:05562:3200                                     ;20010101;25001224;4;0;0;0;2;0
1;3201;0;GLA Goetheplatz                                   ;Goetheplatz                                       ;Goethepl;6.991.157;51.574.599;Gladbeck            ;5562014;252;-1;-1;-1;-1;-1;de:05562:3201                                     ;19781001;25001224;4;0;0;0;2;0
1;3202;0;GLA West Bf                                       ;West Bf                                           ;        ;6.978.832;51.576.123;Gladbeck            ;5562014;252;-1;-1;-1;-1;-1;de:05562:3202                                     ;19781001;25001224;4;0;0;0;2;0
